@relation 'cjlt123.txt-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-79,81-100,103,107-124,126-127,129-220,222-223,225-270'

@attribute att_80 numeric
@attribute att_101 numeric
@attribute att_102 numeric
@attribute att_104 numeric
@attribute att_105 numeric
@attribute att_106 numeric
@attribute att_125 numeric
@attribute att_128 numeric
@attribute att_221 numeric
@attribute att_224 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}

@data
{0 -0.578529,1 0.056299,2 -0.175,3 0.134702,4 -0.933914,5 -0.289695,6 -0.646837,7 0.535064,8 -0.159495,9 -0.08723,10 25}
{0 -0.628833,1 -0.034285,2 -0.30605,3 -0.006272,4 -0.940252,5 -0.28359,6 -0.703759,7 0.613876,8 -0.226773,9 -0.180477,10 25}
{0 -0.607508,1 0.04245,2 -0.169382,3 0.129069,4 -0.933279,5 -0.233859,6 -0.613625,7 0.522523,8 -0.188883,9 -0.136985,10 25}
{0 -0.640133,1 -0.011173,2 -0.11975,3 0.126458,4 -0.939471,5 -0.364107,6 -0.615184,7 0.519439,8 -0.238783,9 -0.163714,10 25}
{0 -0.625023,1 -0.018351,2 -0.203511,3 0.070165,4 -0.941078,5 -0.328278,6 -0.658032,7 0.580033,8 -0.239961,9 -0.127572,10 25}
{0 -0.648426,1 -0.067845,2 -0.180608,3 0.058445,4 -0.943159,5 -0.576063,6 -0.635003,7 0.533069,8 -0.322484,9 -0.25541,10 25}
{0 -0.615366,1 0.010022,2 -0.080924,3 0.161943,4 -0.937266,5 -0.488286,6 -0.626816,7 0.53393,8 -0.155924,9 -0.060894,10 25}
{0 -0.618123,1 -0.027089,2 -0.034161,3 0.168874,4 -0.941709,5 -0.437589,6 -0.585592,7 0.498972,8 -0.244881,9 -0.119434,10 25}
{0 -0.59421,1 -0.062863,2 -0.023944,3 0.157377,4 -0.943574,5 -0.337602,6 -0.615082,7 0.524778,8 -0.232096,9 -0.076552,10 25}
{0 -0.62048,1 -0.019961,2 -0.082182,3 0.144356,4 -0.939476,5 -0.48385,6 -0.625792,7 0.543831,8 -0.168137,9 -0.074146,10 25}
{0 -0.620454,1 -0.068789,2 -0.074593,3 0.124372,4 -0.942578,5 -0.385938,6 -0.620055,7 0.51004,8 -0.264405,9 -0.176641,10 25}
{0 -0.63459,1 -0.041415,2 0.027895,3 0.197871,4 -0.941969,5 -0.455569,6 -0.603911,7 0.506564,8 -0.174818,9 -0.06062,10 25}
{0 -0.655737,1 -0.064126,2 0.029669,3 0.188442,4 -0.942182,5 -0.592374,6 -0.553324,7 0.47558,8 -0.256648,9 -0.148286,10 25}
{0 -0.649227,1 -0.007512,2 0.018267,3 0.209738,4 -0.938742,5 -0.481609,6 -0.56263,7 0.48446,8 -0.197056,9 -0.08923,10 25}
{0 -0.61159,1 -0.086287,2 -0.080121,3 0.112982,4 -0.944209,5 -0.474753,6 -0.589398,7 0.496546,8 -0.325753,9 -0.218989,10 25}
{0 -0.642731,1 0.040679,2 0.069953,3 0.265623,4 -0.935088,5 -0.388561,6 -0.532775,7 0.461176,8 -0.166171,9 -0.027539,10 25}
{0 -0.74086,1 -0.021733,2 0.05611,3 0.223689,4 -0.940722,5 -0.455569,6 -0.562174,7 0.491811,8 -0.176451,9 -0.088406,10 25}
{0 -0.716831,1 0.02157,2 0.082066,3 0.261306,4 -0.936807,5 -0.481609,6 -0.529543,7 0.455567,8 -0.153087,9 -0.078701,10 25}
{0 -0.679708,1 -0.025087,2 0.036191,3 0.210687,4 -0.941028,5 -0.343683,6 -0.568062,7 0.499918,8 -0.212263,9 -0.071062,10 25}
{0 -0.667452,1 0.029469,2 0.037459,3 0.241046,4 -0.936935,5 -0.574179,6 -0.563802,7 0.477988,8 -0.166992,9 -0.052513,10 25}
{0 -0.623704,1 -0.005721,2 -0.07996,3 0.153512,4 -0.938524,5 -0.48385,6 -0.576134,7 0.510773,8 -0.26005,9 -0.125922,10 25}
{0 -0.666531,1 0.043711,2 -0.03623,3 0.208148,4 -0.934092,5 -0.406314,6 -0.564391,7 0.492313,8 -0.168017,9 -0.084715,10 25}
{0 -0.603284,1 -0.109652,2 -0.232069,3 0.005423,4 -0.943137,5 -0.730038,6 -0.658567,7 0.577896,8 -0.272264,9 -0.225604,10 25}
{0 -0.614727,1 -0.084861,2 -0.339414,3 -0.05729,4 -0.943509,5 -0.492638,6 -0.711067,7 0.65706,8 -0.238209,9 -0.157758,10 25}
{0 -0.345419,1 0.743022,2 -0.573453,3 0.644951,4 -0.883451,5 -0.806918,6 -0.367384,7 0.011123,8 0.036833,9 0.215473,10 26}
{0 -0.297977,1 0.824702,2 -0.641864,3 0.72333,4 -0.887103,5 -1,6 -0.384712,7 0.054925,8 0.371262,9 0.485444,10 26}
{0 -0.195933,1 0.788458,2 -0.56755,3 0.70644,4 -0.881847,5 -0.901468,6 -0.342123,7 -0.000771,8 0.295551,9 0.449681,10 26}
{0 -0.448191,1 0.79111,2 -0.757417,3 0.629375,4 -0.834267,5 -0.938227,6 -0.287985,7 -0.10924,8 -0.143291,9 -0.041691,10 26}
{0 -0.496235,1 0.800812,2 -0.77674,3 0.634243,4 -0.830529,5 -1,6 -0.290906,7 -0.09818,8 -0.130716,9 -0.045556,10 26}
{0 -0.42868,1 0.785633,2 -0.755276,3 0.622841,4 -0.837827,5 -1,6 -0.327175,7 -0.052792,8 -0.065245,9 0.026273,10 26}
{0 -0.592557,1 0.816082,2 -0.989435,3 0.561443,4 -0.926329,5 -1,6 -0.283198,7 -0.177601,8 -0.293647,9 -0.372329,10 26}
{0 -0.394737,1 0.722329,2 -0.715769,3 0.554916,4 -0.868541,5 -1,6 -0.400943,7 0.055079,8 -0.072558,9 0.037891,10 26}
{0 -0.522744,1 0.741925,2 -0.838739,3 0.525322,4 -0.829682,5 -1,6 -0.387203,7 0.024438,8 -0.166522,9 -0.151459,10 26}
{0 -0.453126,1 0.738264,2 -0.98193,3 0.452319,4 -0.932122,5 -1,6 -0.388063,7 -0.00428,8 -0.238542,9 -0.314233,10 26}
{0 -0.403794,1 0.70336,2 -0.732761,3 0.52176,4 -0.863808,5 -1,6 -0.427431,7 0.098969,8 -0.07569,9 0.021157,10 26}
{0 -0.338494,1 0.647636,2 -0.696822,3 0.464721,4 -0.87531,5 -0.920247,6 -0.471361,7 0.16788,8 -0.091803,9 0.045596,10 26}
{0 -0.381007,1 0.717498,2 -0.700644,3 0.555374,4 -0.861572,5 -0.926399,6 -0.41117,7 0.065661,8 -0.07357,9 0.062979,10 26}
{0 -0.382975,1 0.670349,2 -0.676246,3 0.504251,4 -0.879229,5 -1,6 -0.457208,7 0.137682,8 -0.112333,9 0.053978,10 26}
{0 -0.268292,1 0.704978,2 -0.689947,3 0.54362,4 -0.864571,5 -0.925016,6 -0.39575,7 0.051269,8 -0.058425,9 0.09711,10 26}
{0 -0.236812,1 0.681946,2 -0.668923,3 0.52285,4 -0.881269,5 -0.822704,6 -0.413924,7 0.073237,8 -0.029338,9 0.106573,10 26}
{0 -0.429061,1 0.671805,2 -0.724725,3 0.483363,4 -0.874103,5 -1,6 -0.44263,7 0.139203,8 -0.139373,9 -0.019199,10 26}
{0 -0.274327,1 0.692838,2 -0.703933,3 0.521085,4 -0.866289,5 -1,6 -0.38866,7 0.051248,8 -0.126378,9 0.042905,10 26}
{0 -0.372677,1 0.65855,2 -0.757761,3 0.449838,4 -0.873203,5 -1,6 -0.453166,7 0.170842,8 -0.12725,9 -0.005137,10 26}
{0 -0.363843,1 0.648367,2 -0.667407,3 0.479737,4 -0.873232,5 -1,6 -0.457778,7 0.17504,8 -0.118102,9 0.070923,10 26}
{0 -0.487857,1 0.772624,2 -0.840913,3 0.566741,4 -0.89882,5 -1,6 -0.357317,7 0.049957,8 -0.007893,9 -0.000877,10 26}
{0 -0.278153,1 0.632216,2 -0.662071,3 0.461234,4 -0.884006,5 -0.912652,6 -0.478118,7 0.197274,8 -0.084559,9 0.127399,10 26}
{0 -0.215792,1 0.566134,2 -0.698068,3 0.357829,4 -0.885263,5 -0.917206,6 -0.526525,7 0.267724,8 -0.120335,9 0.078348,10 26}
{0 -0.226331,1 0.641467,2 -0.66779,3 0.470508,4 -0.883275,5 -1,6 -0.479051,7 0.182428,8 -0.021704,9 0.163512,10 26}
{0 -0.397388,1 0.604513,2 -0.755038,3 0.378917,4 -0.899951,5 -1,6 -0.474955,7 0.170622,8 -0.309371,9 -0.17132,10 26}
{0 -0.155257,1 0.634593,2 -0.645124,3 0.472473,4 -0.877573,5 -1,6 -0.443908,7 0.121441,8 -0.095345,9 0.134326,10 26}
{0 -0.201081,1 0.682736,2 -0.696896,3 0.511063,4 -0.844879,5 -1,6 -0.454659,7 0.160306,8 0.001664,9 0.235385,10 26}
{0 -0.012269,1 0.67413,2 -0.613059,3 0.538625,4 -0.845557,5 -0.939168,6 -0.44371,7 0.140611,8 0.14591,9 0.425982,10 26}
{0 -0.011461,1 0.639756,2 -0.69454,3 0.45538,4 -0.889688,5 -0.904997,6 -0.512648,7 0.25105,8 0.17807,9 0.420292,10 26}
{0 -0.311845,1 0.607885,2 -0.941354,3 0.285998,4 -0.936182,5 -1,6 -0.526828,7 0.234075,8 -0.142154,9 -0.193581,10 26}
{0 -0.172201,1 0.628521,2 -0.675941,3 0.449692,4 -0.890786,5 -1,6 -0.45471,7 0.16202,8 -0.111483,9 0.132896,10 26}
{0 -0.266049,1 0.385738,2 -0.109501,3 0.447608,4 -0.898385,5 -0.51826,6 -0.277637,7 0.069009,8 -0.206707,9 -0.084851,10 27}
{0 -0.217422,1 0.337476,2 -0.221247,3 0.344405,4 -0.901541,5 -0.684158,6 -0.379898,7 0.141206,8 -0.242181,9 -0.1523,10 27}
{0 -0.169385,1 0.310896,2 -0.072362,3 0.395013,4 -0.912803,5 -0.6727,6 -0.30255,7 0.060807,8 -0.241451,9 -0.128341,10 27}
{0 -0.231095,1 0.334504,2 -0.199367,3 0.352835,4 -0.901801,5 -0.763112,6 -0.359772,7 0.141611,8 -0.239872,9 -0.145826,10 27}
{0 -0.255974,1 0.428803,2 -0.258844,3 0.418228,4 -0.897377,5 -0.581643,6 -0.316424,7 0.026302,8 -0.256724,9 -0.201461,10 27}
{0 -0.082872,1 0.241706,2 -0.207805,3 0.26162,4 -0.92063,5 -0.800455,6 -0.382308,7 0.119041,8 -0.287368,9 -0.230683,10 27}
{0 -0.190455,1 0.234359,2 -0.172718,3 0.274727,4 -0.910381,5 -0.527799,6 -0.441586,7 0.210748,8 -0.214681,9 -0.156366,10 27}
{0 -0.014725,1 0.010224,2 -0.209688,3 0.083497,4 -0.937769,5 -0.477054,6 -0.53955,7 0.343629,8 -0.187188,9 -0.109318,10 27}
{0 -0.176781,1 0.232642,2 -0.14128,3 0.290302,4 -0.909358,5 -0.692313,6 -0.418111,7 0.172372,8 -0.237441,9 -0.17645,10 27}
{0 -0.167536,1 0.262547,2 -0.227887,3 0.269533,4 -0.917427,5 -0.760585,6 -0.404464,7 0.191477,8 -0.181226,9 -0.178016,10 27}
{0 -0.131126,1 0.256673,2 -0.228663,3 0.263863,4 -0.914359,5 -0.512442,6 -0.37818,7 0.162562,8 -0.221546,9 -0.202961,10 27}
{0 -0.077882,1 0.269992,2 -0.334737,3 0.217167,4 -0.91368,5 -0.598097,6 -0.413295,7 0.191141,8 -0.220183,9 -0.1959,10 27}
{0 -0.111986,1 0.189585,2 -0.12908,3 0.260624,4 -0.921441,5 -0.768037,6 -0.416583,7 0.197004,8 -0.197014,9 -0.136312,10 27}
{0 -0.163068,1 0.335078,2 -0.39628,3 0.247827,4 -0.913781,5 -0.554745,6 -0.421234,7 0.193446,8 -0.236712,9 -0.212627,10 27}
{0 -0.070743,1 0.246874,2 -0.294872,3 0.217674,4 -0.921818,5 -0.637121,6 -0.433293,7 0.247211,8 -0.177103,9 -0.09577,10 27}
{0 -0.090158,1 0.241547,2 -0.251525,3 0.237271,4 -0.920301,5 -0.455795,6 -0.386177,7 0.18274,8 -0.223397,9 -0.183412,10 27}
{0 -0.089362,1 0.226107,2 -0.253295,3 0.222376,4 -0.921708,5 -0.750557,6 -0.405271,7 0.192162,8 -0.216588,9 -0.195408,10 27}
{0 -0.136221,1 0.240586,2 -0.167642,3 0.282499,4 -0.921217,5 -0.696868,6 -0.387689,7 0.184424,8 -0.207907,9 -0.136525,10 27}
{0 -0.0507,1 0.243659,2 -0.291228,3 0.216701,4 -0.923398,5 -0.301797,6 -0.413382,7 0.186713,8 -0.211644,9 -0.177708,10 27}
{0 -0.113467,1 0.233382,2 -0.242936,3 0.234818,4 -0.918521,5 -0.579187,6 -0.407261,7 0.196885,8 -0.239256,9 -0.186842,10 27}
{0 -0.086361,1 0.218347,2 -0.300811,3 0.188308,4 -0.92012,5 -0.337602,6 -0.417591,7 0.217125,8 -0.281069,9 -0.214577,10 27}
{0 -0.260878,1 0.278048,2 -0.142301,3 0.32969,4 -0.907636,5 -0.59855,6 -0.347611,7 0.118588,8 -0.306316,9 -0.253092,10 27}
{0 -0.062275,1 0.270776,2 -0.340766,3 0.214403,4 -0.916656,5 -0.570769,6 -0.40194,7 0.150618,8 -0.278938,9 -0.251297,10 27}
{0 -0.083884,1 0.252129,2 -0.305086,3 0.216995,4 -0.915752,5 -0.501317,6 -0.397163,7 0.169705,8 -0.256399,9 -0.236713,10 27}
{0 -0.136817,1 0.340719,2 -0.359657,3 0.273928,4 -0.908814,5 -0.68386,6 -0.34583,7 0.091062,8 -0.292786,9 -0.300434,10 27}
{0 -0.01719,1 0.324432,2 -0.179994,3 0.35295,4 -0.910058,5 -0.819342,6 -0.35793,7 -0.023184,8 -0.251726,9 -0.191398,10 28}
{0 -0.067397,1 0.37443,2 -0.244369,3 0.369218,4 -0.902276,5 -0.873604,6 -0.338085,7 -0.024716,8 -0.26486,9 -0.209396,10 28}
{0 -0.056709,1 0.317989,2 -0.035706,3 0.419292,4 -0.920548,5 -0.887518,6 -0.327781,7 -0.054047,8 -0.233137,9 -0.133229,10 28}
{0 -0.111392,1 0.354691,2 -0.174858,3 0.384725,4 -0.908964,5 -0.768931,6 -0.340559,7 -0.025103,8 -0.30116,9 -0.2192,10 28}
{0 -0.055678,1 0.274522,2 -0.01105,3 0.393593,4 -0.916025,5 -0.810745,6 -0.328867,7 -0.057853,8 -0.249347,9 -0.191641,10 28}
{0 -0.091177,1 0.303592,2 -0.11904,3 0.364844,4 -0.909392,5 -0.827199,6 -0.372551,7 0.016141,8 -0.254815,9 -0.184275,10 28}
{0 0.005907,1 0.268166,2 -0.091677,3 0.346959,4 -0.9172,5 -0.90384,6 -0.335049,7 -0.028305,8 -0.250624,9 -0.187201,10 28}
{0 -0.06332,1 0.296963,2 -0.190917,3 0.321366,4 -0.910852,5 -0.736023,6 -0.364797,7 -0.005089,8 -0.303901,9 -0.276726,10 28}
{0 -0.105151,1 0.364557,2 -0.261159,3 0.350658,4 -0.90041,5 -0.919436,6 -0.384896,7 0.017141,8 -0.255534,9 -0.225272,10 28}
{0 -0.068397,1 0.312372,2 -0.157389,3 0.353216,4 -0.910788,5 -0.910017,6 -0.349129,7 -0.014205,8 -0.255445,9 -0.229055,10 28}
{0 -0.063161,1 0.314156,2 -0.206613,3 0.329348,4 -0.909695,5 -0.955837,6 -0.391607,7 0.037175,8 -0.244042,9 -0.200038,10 28}
{0 -0.038191,1 0.305643,2 -0.174742,3 0.337934,4 -0.910926,5 -0.910684,6 -0.369004,7 -0.000726,8 -0.248396,9 -0.212011,10 28}
{0 -0.062012,1 0.328439,2 -0.264522,3 0.312719,4 -0.907213,5 -0.913915,6 -0.392626,7 0.040663,8 -0.245626,9 -0.227397,10 28}
{0 -0.039578,1 0.274087,2 -0.092383,3 0.351919,4 -0.913902,5 -0.909671,6 -0.364112,7 -0.010776,8 -0.215092,9 -0.198761,10 28}
{0 -0.062643,1 0.283558,2 -0.174422,3 0.317715,4 -0.91008,5 -0.745419,6 -0.387941,7 0.039032,8 -0.24262,9 -0.220329,10 28}
{0 0.019443,1 0.13545,2 -0.279451,3 0.129971,4 -0.927836,5 -0.801278,6 -0.404178,7 0.057266,8 -0.474635,9 -0.470065,10 28}
{0 -0.0286,1 0.206609,2 -0.319416,3 0.166828,4 -0.921776,5 -0.903459,6 -0.397012,7 0.040189,8 -0.473434,9 -0.478949,10 28}
{0 -0.05772,1 0.28539,2 -0.233745,3 0.287861,4 -0.905726,5 -0.843116,6 -0.423287,7 0.094858,8 -0.22937,9 -0.192232,10 28}
{0 -0.035375,1 0.234379,2 -0.329422,3 0.186492,4 -0.916262,5 -0.911018,6 -0.368797,7 0.002648,8 -0.484513,9 -0.504835,10 28}
{0 -0.041023,1 0.267611,2 -0.25089,3 0.261611,4 -0.917062,5 -0.904234,6 -0.332648,7 -0.027039,8 -0.417683,9 -0.40611,10 28}
{0 -0.047681,1 0.318354,2 -0.32962,3 0.267592,4 -0.909945,5 -0.910684,6 -0.397686,7 0.056984,8 -0.283081,9 -0.278953,10 28}
{0 -0.04849,1 0.232122,2 -0.233962,3 0.238636,4 -0.920456,5 -0.902267,6 -0.376267,7 0.029695,8 -0.39368,9 -0.377036,10 28}
{0 -0.04587,1 0.353709,2 -0.405915,3 0.262297,4 -0.903973,5 -0.831479,6 -0.413215,7 0.075237,8 -0.254559,9 -0.260203,10 28}
{0 -0.062793,1 0.21161,2 -0.293057,3 0.186607,4 -0.924003,5 -0.89677,6 -0.381765,7 0.0327,8 -0.495972,9 -0.487981,10 28}
{0 -0.035659,1 0.207848,2 -0.257557,3 0.203663,4 -0.925858,5 -0.892096,6 -0.362957,7 0.001073,8 -0.503818,9 -0.474242,10 28}
{0 -0.044837,1 0.652811,2 -0.738608,3 0.451294,4 -0.896257,5 -1,6 0.055346,7 -0.302457,8 -0.433426,9 -0.347498,10 29}
{0 0.00692,1 0.60976,2 -0.81042,3 0.357721,4 -0.898229,5 -1,6 0.104931,7 -0.310199,8 -0.527719,9 -0.508769,10 29}
{0 0.191574,1 0.523537,2 -0.761063,3 0.268923,4 -0.901147,5 -1,6 0.132222,7 -0.315589,8 -0.510538,9 -0.486577,10 29}
{0 0.116693,1 0.552698,2 -0.777378,3 0.29857,4 -0.897049,5 -1,6 0.150806,7 -0.315663,8 -0.522403,9 -0.516389,10 29}
{0 0.149193,1 0.597967,2 -0.793753,3 0.350408,4 -0.896274,5 -1,6 0.178339,7 -0.457751,8 -0.498286,9 -0.506723,10 29}
{0 -0.014187,1 0.655769,2 -0.828471,3 0.411306,4 -0.895485,5 -1,6 0.280314,7 -0.464088,8 -0.579683,9 -0.564154,10 29}
{0 0.007824,1 0.617592,2 -0.865451,3 0.340034,4 -0.889902,5 -1,6 0.204788,7 -0.32782,8 -0.550183,9 -0.565228,10 29}
{0 -0.015906,1 0.600391,2 -0.860318,3 0.31899,4 -0.891724,5 -1,6 0.127106,7 -0.216047,8 -0.500131,9 -0.50917,10 29}
{0 0.130081,1 0.555914,2 -0.859266,3 0.258473,4 -0.895253,5 -1,6 0.049142,7 -0.217024,8 -0.460271,9 -0.471148,10 29}
{0 0.100567,1 0.557381,2 -0.85397,3 0.263383,4 -0.896715,5 -1,6 0.236658,7 -0.251606,8 -0.529154,9 -0.536725,10 29}
{0 0.142074,1 0.57215,2 -0.808412,3 0.30802,4 -0.894596,5 -1,6 0.153994,7 -0.361028,8 -0.508174,9 -0.513621,10 29}
{0 0.131097,1 0.580955,2 -0.798698,3 0.325019,4 -0.889664,5 -1,6 0.17921,7 -0.391528,8 -0.505025,9 -0.521206,10 29}
{0 0.089384,1 0.574783,2 -0.820387,3 0.305207,4 -0.893072,5 -1,6 0.172398,7 -0.293219,8 -0.510351,9 -0.510038,10 29}
{0 0.111307,1 0.543336,2 -0.849637,3 0.246649,4 -0.88948,5 -1,6 0.005637,7 -0.171398,8 -0.448069,9 -0.461382,10 29}
{0 0.107665,1 0.586088,2 -0.821543,3 0.319905,4 -0.891696,5 -1,6 0.221979,7 -0.367154,8 -0.531868,9 -0.535738,10 29}
{0 0.109948,1 0.606056,2 -0.795382,3 0.360487,4 -0.890481,5 -1,6 0.173113,7 -0.453182,8 -0.52341,9 -0.527653,10 29}
{0 0.151818,1 0.570507,2 -0.821695,3 0.298731,4 -0.892593,5 -1,6 0.243864,7 -0.396259,8 -0.549537,9 -0.556527,10 29}
{0 0.094989,1 0.578326,2 -0.815437,3 0.312657,4 -0.887191,5 -1,6 0.174239,7 -0.327994,8 -0.504585,9 -0.525423,10 29}
{0 0.138711,1 0.593522,2 -0.791481,3 0.345659,4 -0.888965,5 -1,6 0.206819,7 -0.45192,8 -0.516337,9 -0.524461,10 29}
{0 0.112808,1 0.609999,2 -0.780574,3 0.373329,4 -0.893509,5 -1,6 0.245381,7 -0.509396,8 -0.555853,9 -0.544694,10 29}
{0 0.128653,1 0.581796,2 -0.794438,3 0.328374,4 -0.89121,5 -1,6 0.270056,7 -0.454932,8 -0.560295,9 -0.576757,10 29}
{0 0.043828,1 0.600078,2 -0.797973,3 0.351101,4 -0.891199,5 -1,6 0.279348,7 -0.384716,8 -0.566119,9 -0.559711,10 29}
{0 0.112543,1 0.581155,2 -0.863109,3 0.291061,4 -0.88428,5 -1,6 0.183682,7 -0.351157,8 -0.54681,9 -0.574665,10 29}
{0 0.125053,1 0.576103,2 -0.829848,3 0.301986,4 -0.885501,5 -1,6 0.213534,7 -0.382979,8 -0.552591,9 -0.569029,10 29}
{0 0.170515,1 0.547906,2 -0.844609,3 0.255674,4 -0.884194,5 -1,6 0.189837,7 -0.340616,8 -0.53875,9 -0.566474,10 29}
{0 -0.336076,1 0.239314,2 -0.268982,3 0.225179,4 -0.925881,5 -0.657712,6 -0.616398,7 0.411717,8 -0.030604,9 -0.013762,10 30}
{0 -0.329976,1 0.183681,2 -0.333701,3 0.137843,4 -0.924948,5 -0.698156,6 -0.561646,7 0.367704,8 -0.207167,9 -0.247576,10 30}
{0 -0.278701,1 0.111944,2 -0.216426,3 0.149487,4 -0.93053,5 -0.588857,6 -0.600131,7 0.410706,8 -0.101433,9 -0.107948,10 30}
{0 -0.284819,1 0.085009,2 -0.34143,3 0.051319,4 -0.932961,5 -0.474753,6 -0.662329,7 0.490908,8 -0.077866,9 -0.12416,10 30}
{0 -0.346568,1 0.113336,2 -0.379219,3 0.04936,4 -0.931767,5 -0.462925,6 -0.663535,7 0.486661,8 -0.123755,9 -0.181987,10 30}
{0 -0.328916,1 0.119254,2 -0.384398,3 0.050914,4 -0.931117,5 -0.467718,6 -0.612136,7 0.429618,8 -0.231596,9 -0.278315,10 30}
{0 -0.423333,1 0.109578,2 -0.293827,3 0.100582,4 -0.930292,5 -0.69558,6 -0.639712,7 0.461261,8 -0.152326,9 -0.199916,10 30}
{0 -0.328318,1 -0.069347,2 -0.614148,3 -0.264765,4 -0.9443,5 -0.212624,6 -0.760535,7 0.61881,8 -0.294365,9 -0.342814,10 30}
{0 -0.318067,1 0.106507,2 -0.454905,3 -0.006434,4 -0.93037,5 -0.393748,6 -0.67171,7 0.506543,8 -0.171358,9 -0.210225,10 30}
{0 -0.318354,1 0.037256,2 -0.46875,3 -0.072011,4 -0.934098,5 -0.416008,6 -0.719905,7 0.573936,8 -0.123732,9 -0.171478,10 30}
{0 -0.31175,1 0.063889,2 -0.527339,3 -0.09351,4 -0.933042,5 -0.098258,6 -0.748911,7 0.599996,8 -0.095594,9 -0.143,10 30}
{0 -0.327957,1 0.096082,2 -0.475611,3 -0.029362,4 -0.928264,5 -0.075735,6 -0.7114,7 0.546283,8 -0.127376,9 -0.172195,10 30}
{0 -0.311724,1 0.080144,2 -0.410887,3 0.001637,4 -0.933528,5 -0.364107,6 -0.693421,7 0.516923,8 -0.115273,9 -0.171921,10 30}
{0 -0.370314,1 0.090848,2 -0.440519,3 -0.009602,4 -0.928908,5 -0.347951,6 -0.685185,7 0.536952,8 -0.140733,9 -0.191646,10 30}
{0 -0.348157,1 0.071865,2 -0.43917,3 -0.024179,4 -0.932856,5 -0.188218,6 -0.674388,7 0.507114,8 -0.19868,9 -0.259096,10 30}
{0 -0.353363,1 0.072812,2 -0.507896,3 -0.071831,4 -0.931214,5 -0.423078,6 -0.709201,7 0.557119,8 -0.175864,9 -0.232097,10 30}
{0 -0.360831,1 0.111288,2 -0.457615,3 -0.004115,4 -0.928321,5 -0.521157,6 -0.669642,7 0.511395,8 -0.166661,9 -0.228336,10 30}
{0 -0.314803,1 -0.025494,2 -0.582873,3 -0.207025,4 -0.939195,5 -0.298637,6 -0.725051,7 0.581117,8 -0.279221,9 -0.341001,10 30}
{0 -0.374328,1 0.093443,2 -0.337015,3 0.060883,4 -0.929097,5 -0.434477,6 -0.640415,7 0.470165,8 -0.159666,9 -0.215568,10 30}
{0 -0.397061,1 0.110846,2 -0.423278,3 0.018498,4 -0.929941,5 -0.396299,6 -0.638191,7 0.459006,8 -0.267015,9 -0.323333,10 30}
{0 -0.449706,1 0.001848,2 -0.455515,3 -0.088754,4 -0.941144,5 -0.642308,6 -0.711732,7 0.561259,8 -0.26389,9 -0.314992,10 30}
{0 -0.368439,1 0.12667,2 -0.265641,3 0.131226,4 -0.930226,5 -0.369711,6 -0.571077,7 0.416182,8 -0.163204,9 -0.196179,10 30}
{0 -0.376022,1 0.091815,2 -0.218955,3 0.132971,4 -0.932388,5 -0.477054,6 -0.569226,7 0.389623,8 -0.216869,9 -0.248774,10 30}
{0 -0.402118,1 0.063875,2 -0.406407,3 -0.007949,4 -0.932924,5 -0.501127,6 -0.685957,7 0.539483,8 -0.15616,9 -0.206011,10 30}
{0 -0.430358,1 0.084084,2 -0.423046,3 -0.003346,4 -0.931776,5 -0.496918,6 -0.705914,7 0.558681,8 -0.144548,9 -0.178206,10 30}
{0 -0.07361,1 0.734369,2 -0.912661,3 0.479981,4 -0.889073,5 -1,6 0.233048,7 -0.590787,8 -0.550063,9 -0.569404,10 31}
{0 -0.062473,1 0.694716,2 -0.927215,3 0.416765,4 -0.884794,5 -1,6 0.195671,7 -0.441759,8 -0.553196,9 -0.582445,10 31}
{0 -0.019315,1 0.698219,2 -0.906451,3 0.431908,4 -0.893906,5 -1,6 0.39641,7 -0.634495,8 -0.651016,9 -0.656675,10 31}
{0 -0.007738,1 0.700266,2 -0.902529,3 0.436721,4 -0.889535,5 -1,6 0.44283,7 -0.783906,8 -0.701782,9 -0.720744,10 31}
{0 -0.070372,1 0.705242,2 -0.909635,3 0.440268,4 -0.891323,5 -1,6 0.535845,7 -0.704791,8 -0.722518,9 -0.737052,10 31}
{0 -0.020074,1 0.69207,2 -0.887314,3 0.432648,4 -0.888594,5 -1,6 0.519241,7 -0.698005,8 -0.69413,9 -0.696781,10 31}
{0 0.057155,1 0.658477,2 -0.891597,3 0.383496,4 -0.887456,5 -1,6 0.372306,7 -0.60646,8 -0.65353,9 -0.662796,10 31}
{0 0.101297,1 0.637579,2 -0.889881,3 0.355153,4 -0.890415,5 -1,6 0.41879,7 -0.63555,8 -0.678389,9 -0.695136,10 31}
{0 0.10841,1 0.644695,2 -0.892899,3 0.363543,4 -0.891624,5 -1,6 0.46361,7 -0.754409,8 -0.726961,9 -0.740268,10 31}
{0 0.062597,1 0.675929,2 -0.854448,3 0.426311,4 -0.881441,5 -1,6 0.446519,7 -0.749144,8 -0.647696,9 -0.647222,10 31}
{0 0.097772,1 0.656011,2 -0.870573,3 0.390631,4 -0.893439,5 -1,6 0.305217,7 -0.610924,8 -0.586607,9 -0.602036,10 31}
{0 0.148627,1 0.639901,2 -0.905077,3 0.350567,4 -0.89139,5 -1,6 0.331504,7 -0.643792,8 -0.645752,9 -0.652879,10 31}
