@relation 'cjlt123.txt-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-79,81-100,103,107-124,126-127,129-220,222-223,225-270'

@attribute att_80 numeric
@attribute att_101 numeric
@attribute att_102 numeric
@attribute att_104 numeric
@attribute att_105 numeric
@attribute att_106 numeric
@attribute att_125 numeric
@attribute att_128 numeric
@attribute att_221 numeric
@attribute att_224 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}

@data
{0 -0.283797,1 0.112704,2 -0.583248,3 -0.091577,4 -0.929681,5 -0.699419,6 -0.606066,7 0.538533,8 -0.188911,9 -0.246851,10 2}
{0 -0.300367,1 0.119933,2 -0.516417,3 -0.037103,4 -0.929723,5 -0.898094,6 -0.550382,7 0.484895,8 -0.24223,9 -0.287822,10 2}
{0 -0.307335,1 0.114138,2 -0.457992,3 -0.002068,4 -0.931049,5 -0.894946,6 -0.507127,7 0.443655,8 -0.272705,9 -0.320593,10 2}
{0 -0.272942,1 0.095807,2 -0.539454,3 -0.075055,4 -0.932892,5 -0.78517,6 -0.519319,7 0.501896,8 -0.255757,9 -0.28909,10 2}
{0 -0.299757,1 0.230785,2 -0.525519,3 0.063355,4 -0.923557,5 -0.788974,6 -0.452539,7 0.412494,8 -0.243978,9 -0.268308,10 2}
{0 -0.219009,1 0.162368,2 -0.491237,3 0.018798,4 -0.929796,5 -0.777134,6 -0.486305,7 0.399508,8 -0.268897,9 -0.30087,10 2}
{0 -0.247886,1 0.096926,2 -0.659588,3 -0.164785,4 -0.932564,5 -0.78709,6 -0.550218,7 0.521236,8 -0.311296,9 -0.357222,10 2}
{0 -0.217613,1 0.197381,2 -0.56541,3 0.003158,4 -0.928416,5 -0.771804,6 -0.493759,7 0.408409,8 -0.278839,9 -0.307785,10 2}
{0 -0.241075,1 0.115415,2 -0.507197,3 -0.034851,4 -0.932836,5 -0.776097,6 -0.461851,7 0.407414,8 -0.359137,9 -0.389967,10 2}
{0 -0.304708,1 0.260466,2 -0.475341,3 0.124997,4 -0.918982,5 -0.802101,6 -0.414914,7 0.335364,8 -0.263947,9 -0.310838,10 2}
